Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148,D_SOD-123,158.17868,-156.076924,0.0,bottom
D2,1N4148,D_SOD-123,158.17868,-160.106924,0.0,bottom
D3,1N4148,D_SOD-123,158.17868,-164.176924,0.0,bottom
D4,1N4148,D_SOD-123,104.1,-169.95,270.0,bottom
D5,1N4148,D_SOD-123,108.1,-169.95,270.0,bottom
D6,1N4148,D_SOD-123,112.1,-169.95,270.0,bottom
J1,SM06B-SRSS-TB(LF)(SN),SM06B-SRSS-TB(LF)(SN),182.375,-161.8,90.0,bottom
J2,SM06B-SRSS-TB(LF)(SN),SM06B-SRSS-TB(LF)(SN),106.7,-147.1,0.0,bottom
J4,Conn_01x14_Pin,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,172.020001,-152.18,180.0,bottom
J5,Conn_01x14_Pin,Hirose_FH12-14S-0.5SH_1x14-1MP_P0.50mm_Horizontal,116.049999,-157.0,270.0,bottom
P1,TYPE-C-31-M-12 USB,USB_C_Receptacle_HRO_TYPE-C-31-M-12,216.60868,-156.006924,270.0,bottom
P2,TYPE-C-31-M-12 USB,USB_C_Receptacle_HRO_TYPE-C-31-M-12,112.25,-112.65,180.0,bottom
